company_name,website,email,contact,country,product_focus,exporter_from_india,source_batch,notes
Catz International B.V,https://www.catz.nl/contact/,"tropical@catz.nl; dehy@catz.nl","+31 (0)10 411 34 40",Netherlands,Dehydrated onion and spices,AB MAURI INDIA PRIVATE LIMITED,2025,""
UNIVERSAL FOOD TRADERS B V,,,"+32 465 573 862",Belgium,Agro imports and spices,JKM ENTERPRISES PRIVATE LIMITED,2025,Missing website and email
DE VRIJ MOERKAPELLE B V,https://www.devrijgroup.com/our-companies/de-vrij-moerkapelle,aad@devrijmoerkapelle.nl,+31 79 593 1432,Netherlands,Agro and spice imports,ITC LIMITED,2025,""
TRS FOOD,https://www.trsfood.com/contact-us/,quality@vibrantfoods.com,Import regular check Apollo,United Kingdom,Spices and ethnic foods,ASIAN SPICES/SAMI SPICES AND HERBS PRIVATE LIMITED,2025,Contact field was a note
Spice master bv,https://www.spicemasters.nl/en/contact/,info@spicemasters.nl,+31 (0)341 706 692,Netherlands,Spice imports,ADANI FOOD PRODUCTS PRIVATE LIMITED,2025,""
Burj Agricultural Supplies Company,https://burjegy.com/,,"+1 514-649-8959; +971 566402700",Egypt/UAE/Canada,Agro supplies,LAXMICHAND DAYABHAI EXPORT CO,2025,Missing email
Little India,"https://www.littleindia.pl/?fbclid=IwY2xjawPmkntleHRuA2FlbQIxMABicmlkETFtQWE0c3V2TzhwWERVYXJBc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHof8q8SHhig7V2YFLStHNNbfLpnPPF_n6qFAD2XvASaGJefouH9k7x_m6SOv_aem_ZmFrZWR1bW15MTZieXRlcw",sklep@littleindia.pl,"+48 22 843 67 38; +48 501 799 309; +48 667 695 940",Poland,Ethnic agro products,PRAVIN MASALEWALE,2025,Owner contact included in source
SISU Agro Solutions Pvt Ltd,https://sisuagrosolutions.com/get-in-touch/,sisuagrosolutions@outlook.com,"+31 615612398; +31 657638124",Netherlands,Agro distribution,PAVAN REDDY OVERSEAS,2025,""
Mini Asia,,,"+49 172 443 5961; +49 228 433 7791",Germany,Ethnic agro distribution,,2025,Missing website email and exporter mapping
Global Choice Foods Ltd.,https://globalchoicefoods.com/,info@globalchoicefoods.com,"+1 905-264-6050; +31 20 238 6987",Canada/Netherlands,Agro and spices,THAKAR EXPORTS noida,2025,""
Fox Retail BV,https://www.foxonlinebv.com/en/,info@foxonlinebv.com,+31 627444604,Netherlands,Spice retail and imports,PRAVIN MASALEWALE,2025,""
GUPTA GASTRO LINE GMBH,,,+43 288 50 76,Austria,Food distribution,MILTOP EXPORTS,2025,Missing website and email
B J TEXTILES GMBH,,,+41 612720990,Switzerland,Mixed trading,EASTERN RED RUBY FOOD PRIVATE LIMITED,2025,Company appears non-agro by name
Mouw Maalderij,https://www.mouwmaalderij.nl/en/contact/,info@mouwmaalderij.nl,+31 (0)341 552 741,Netherlands,Milling and food ingredients,VIRAL CORPORATION,2024,""
